Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,salary,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,,,,,,,,,,,,
41,Yes,Travel_Rarely,1102,Sales,1,2,3455,1,1,2,,,,,,,,,,,,
49,No,Travel_Frequently,279,Research & Development,8,1,3455,1,2,3,,,,,,,,,,,,
37,Yes,Travel_Rarely,1373,Research & Development,2,2,3455,1,4,4,,,,,,,,,,,,
33,No,Travel_Frequently,1392,Research & Development,3,4,3455,1,5,4,,,,,,,,,,,,
27,No,Travel_Rarely,591,Research & Development,2,1,3455,1,7,1,,,,,,,,,,,,
32,No,Travel_Frequently,1005,Research & Development,2,2,3455,1,8,4,,,,,,,,,,,,
59,No,Travel_Rarely,1324,Research & Development,3,3,3455,1,10,3,,,,,,,,,,,,
30,No,Travel_Rarely,1358,Research & Development,24,1,3456,1,11,4,,,,,,,,,,,,
38,No,Travel_Frequently,216,Research & Development,23,3,3456,1,12,4,,,,,,,,,,,,
36,No,Travel_Rarely,1299,Research & Development,27,3,3456,1,13,3,,,,,,,,,,,,
35,No,Travel_Rarely,809,Research & Development,16,3,3456,1,14,1,,,,,,,,,,,,
29,No,Travel_Rarely,153,Research & Development,15,2,3456,1,15,4,,,,,,,,,,,,
31,No,Travel_Rarely,670,Research & Development,26,1,3456,1,16,1,,,,,,,,,,,,
34,No,Travel_Rarely,1346,Research & Development,19,2,3456,1,18,2,,,,,,,,,,,,
28,Yes,Travel_Rarely,103,Research & Development,24,3,3456,1,19,3,,,,,,,,,,,,
29,No,Travel_Rarely,1389,Research & Development,21,4,3456,1,20,2,,,,,,,,,,,,
32,No,Travel_Rarely,334,Research & Development,5,2,3456,1,21,1,,,,,,,,,,,,
22,No,Non-Travel,1123,Research & Development,16,2,3456,1,22,4,,,,,,,,,,,,
53,No,Travel_Rarely,1219,Sales,2,4,3456,1,23,1,,,,,,,,,,,,
38,No,Travel_Rarely,371,Research & Development,2,3,3456,1,24,4,,,,,,,,,,,,
24,No,Non-Travel,673,Research & Development,11,2,3456,1,26,1,,,,,,,,,,,,
36,Yes,Travel_Rarely,1218,Sales,9,4,3456,1,27,3,,,,,,,,,,,,
34,No,Travel_Rarely,419,Research & Development,7,4,3456,1,28,1,,,,,,,,,,,,
21,No,Travel_Rarely,391,Research & Development,15,2,3456,1,30,3,,,,,,,,,,,,
34,Yes,Travel_Rarely,699,Research & Development,6,1,3456,1,31,2,,,,,,,,,,,,
53,No,Travel_Rarely,1282,Research & Development,5,3,3456,1,32,3,,,,,,,,,,,,
32,Yes,Travel_Frequently,1125,Research & Development,16,1,3456,1,33,2,,,,,,,,,,,,
42,No,Travel_Rarely,691,Sales,8,4,3456,1,35,3,,,,,,,,,,,,
44,No,Travel_Rarely,477,Research & Development,7,4,3456,1,36,1,,,,,,,,,,,,
46,No,Travel_Rarely,705,Sales,2,4,3456,1,38,2,,,,,,,,,,,,
33,No,Travel_Rarely,924,Research & Development,2,3,3456,1,39,3,,,,,,,,,,,,
44,No,Travel_Rarely,1459,Research & Development,10,4,3456,1,40,4,,,,,,,,,,,,
30,No,Travel_Rarely,125,Research & Development,9,2,3456,1,41,4,,,,,,,,,,,,
39,Yes,Travel_Rarely,895,Sales,5,3,3456,1,42,4,,,,,,,,,,,,
24,Yes,Travel_Rarely,813,Research & Development,1,3,3456,1,45,2,,,,,,,,,,,,
43,No,Travel_Rarely,1273,Research & Development,2,2,3456,1,46,4,,,,,,,,,,,,
50,Yes,Travel_Rarely,869,Sales,3,2,3456,1,47,1,,,,,,,,,,,,
35,No,Travel_Rarely,890,Sales,2,3,3456,1,49,4,,,,,,,,,,,,
36,No,Travel_Rarely,852,Research & Development,5,4,3456,1,51,2,,,,,,,,,,,,
33,No,Travel_Frequently,1141,Sales,1,3,3456,1,52,3,,,,,,,,,,,,
35,No,Travel_Rarely,464,Research & Development,4,2,3456,1,53,3,,,,,,,,,,,,
27,No,Travel_Rarely,1240,Research & Development,2,4,3456,1,54,4,,,,,,,,,,,,
26,Yes,Travel_Rarely,1357,Research & Development,25,3,3456,1,55,1,,,,,,,,,,,,
27,No,Travel_Frequently,994,Sales,8,3,3456,1,56,4,,,,,,,,,,,,
30,No,Travel_Frequently,721,Research & Development,1,2,3456,1,57,3,,,,,,,,,,,,
41,Yes,Travel_Rarely,1360,Research & Development,12,3,3456,1,58,2,,,,,,,,,,,,
34,No,Non-Travel,1065,Sales,23,4,3456,1,60,2,,,,,,,,,,,,
37,No,Travel_Rarely,408,Research & Development,19,2,3456,1,61,2,,,,,,,,,,,,
46,No,Travel_Frequently,1211,Sales,5,4,3456,1,62,1,,,,,,,,,,,,
35,No,Travel_Rarely,1229,Research & Development,8,1,3456,1,63,4,,,,,,,,,,,,
48,Yes,Travel_Rarely,626,Research & Development,1,2,3456,1,64,1,,,,,,,,,,,,
28,Yes,Travel_Rarely,1434,Research & Development,5,4,3456,1,65,3,,,,,,,,,,,,
44,No,Travel_Rarely,1488,Sales,1,5,3456,1,68,2,,,,,,,,,,,,
35,No,Non-Travel,1097,Research & Development,11,2,3456,1,70,3,,,,,,,,,,,,
26,No,Travel_Rarely,1443,Sales,23,3,3456,1,72,3,,,,,,,,,,,,
33,No,Travel_Frequently,515,Research & Development,1,2,3456,1,73,1,,,,,,,,,,,,
35,No,Travel_Frequently,853,Sales,18,5,3456,1,74,2,,,,,,,,,,,,
35,No,Travel_Rarely,1142,Research & Development,23,4,3456,1,75,3,,,,,,,,,,,,
31,No,Travel_Rarely,655,Research & Development,7,4,3456,1,76,4,,,,,,,,,,,,
37,No,Travel_Rarely,1115,Research & Development,1,4,3456,1,77,1,,,,,,,,,,,,
32,No,Travel_Rarely,427,Research & Development,1,3,3456,1,78,1,,,,,,,,,,,,
38,No,Travel_Frequently,653,Research & Development,29,5,3456,1,79,4,,,,,,,,,,,,
50,No,Travel_Rarely,989,Research & Development,7,2,3456,1,80,2,,,,,,,,,,,,
59,No,Travel_Rarely,1435,Sales,25,3,3456,1,81,1,,,,,,,,,,,,
36,No,Travel_Rarely,1223,Research & Development,8,3,3456,1,83,3,,,,,,,,,,,,
55,No,Travel_Rarely,836,Research & Development,8,3,3456,1,84,4,,,,,,,,,,,,
36,No,Travel_Frequently,1195,Research & Development,11,3,3456,1,85,2,,,,,,,,,,,,
45,No,Travel_Rarely,1339,Research & Development,7,3,3456,1,86,2,,,,,,,,,,,,
35,No,Travel_Frequently,664,Research & Development,1,3,3456,1,88,2,,,,,,,,,,,,
36,Yes,Travel_Rarely,318,Research & Development,9,3,3456,1,90,4,,,,,,,,,,,,
59,No,Travel_Frequently,1225,Sales,1,1,3456,1,91,1,,,,,,,,,,,,
29,No,Travel_Rarely,1328,Research & Development,2,3,3456,1,94,3,,,,,,,,,,,,
31,No,Travel_Rarely,1082,Research & Development,1,4,3456,1,95,3,,,,,,,,,,,,
32,No,Travel_Rarely,548,Research & Development,1,3,3456,1,96,2,,,,,,,,,,,,
36,No,Travel_Rarely,132,Research & Development,6,3,3456,1,97,2,,,,,,,,,,,,
31,No,Travel_Rarely,746,Research & Development,8,4,3456,1,98,3,,,,,,,,,,,,
35,No,Travel_Rarely,776,Sales,1,4,3456,1,100,3,,,,,,,,,,,,
45,No,Travel_Rarely,193,Research & Development,6,4,3456,1,101,4,,,,,,,,,,,,
37,No,Travel_Rarely,397,Research & Development,7,4,3456,1,102,1,,,,,,,,,,,,
46,No,Travel_Rarely,945,Human Resources,5,2,3456,1,103,2,,,,,,,,,,,,
30,No,Travel_Rarely,852,Research & Development,1,1,3456,1,104,4,,,,,,,,,,,,
35,No,Travel_Rarely,1214,Research & Development,1,3,3456,1,105,2,,,,,,,,,,,,
55,No,Travel_Rarely,111,Sales,1,2,3456,1,106,1,,,,,,,,,,,,
38,No,Non-Travel,573,Research & Development,6,3,3456,1,107,2,,,,,,,,,,,,
34,No,Travel_Rarely,1153,Research & Development,1,2,3456,1,110,1,,,,,,,,,,,,
56,No,Travel_Rarely,1400,Research & Development,7,3,3456,1,112,4,,,,,,,,,,,,
23,No,Travel_Rarely,541,Sales,2,1,3456,1,113,3,,,,,,,,,,,,
51,No,Travel_Rarely,432,Research & Development,9,4,3456,1,116,4,,,,,,,,,,,,
30,No,Travel_Rarely,288,Research & Development,2,3,3456,1,117,3,,,,,,,,,,,,
46,Yes,Travel_Rarely,669,Sales,9,2,3456,1,118,3,,,,,,,,,,,,
40,No,Travel_Frequently,530,Research & Development,1,4,3456,1,119,3,,,,,,,,,,,,
51,No,Travel_Rarely,632,Sales,21,4,3456,1,120,3,,,,,,,,,,,,
30,No,Travel_Rarely,1334,Sales,4,2,3456,1,121,3,,,,,,,,,,,,
46,No,Travel_Frequently,638,Research & Development,1,3,3456,1,124,3,,,,,,,,,,,,
32,No,Travel_Rarely,1093,Sales,6,4,3456,1,125,2,,,,,,,,,,,,
54,No,Travel_Rarely,1217,Research & Development,2,4,3456,1,126,1,,,,,,,,,,,,
24,No,Travel_Rarely,1353,Sales,3,2,3456,1,128,1,,,,,,,,,,,,
28,No,Non-Travel,120,Sales,4,3,3456,1,129,2,,,,,,,,,,,,
58,No,Travel_Rarely,682,Sales,10,4,3456,1,131,4,,,,,,,,,,,,
44,No,Non-Travel,489,Research & Development,23,3,3456,1,132,2,,,,,,,,,,,,
37,Yes,Travel_Rarely,807,Human Resources,6,4,3456,1,133,3,,,,,,,,,,,,
32,No,Travel_Rarely,827,Research & Development,1,1,3456,1,134,4,,,,,,,,,,,,
20,Yes,Travel_Frequently,871,Research & Development,6,3,3456,1,137,4,,,,,,,,,,,,
34,No,Travel_Rarely,665,Research & Development,6,4,3456,1,138,1,,,,,,,,,,,,
37,No,Non-Travel,1040,Research & Development,2,2,3456,1,139,3,,,,,,,,,,,,
59,No,Non-Travel,1420,Human Resources,2,4,3456,1,140,3,,,,,,,,,,,,
50,No,Travel_Frequently,1115,Research & Development,1,3,3456,1,141,1,,,,,,,,,,,,
25,Yes,Travel_Rarely,240,Sales,5,3,3456,1,142,3,,,,,,,,,,,,
25,No,Travel_Rarely,1280,Research & Development,7,1,3456,1,143,4,,,,,,,,,,,,
22,No,Travel_Rarely,534,Research & Development,15,3,3456,1,144,2,,,,,,,,,,,,
51,No,Travel_Frequently,1456,Research & Development,1,4,3456,1,145,1,,,,,,,,,,,,
34,Yes,Travel_Frequently,658,Research & Development,7,3,3456,1,147,1,,,,,,,,,,,,
54,No,Non-Travel,142,Human Resources,26,3,3456,1,148,4,,,,,,,,,,,,
